titre,date,genre,duree,realisateur,distributeur,acteurs,nationalites,langue_d_origine,type_film,annee_production,nombre_article,description,film_id_allocine,image
"Cléo, Melvil et moi",2023-07-05,Comédie dramatique,73.0,Arnaud Viard,Moonlight Films Distribution,"Arnaud Viard,Marianne Denicourt,Romane Bohringer",France,Français,Long-métrage,2023,12,"Dans le Paris désert du premier confinement, Arnaud, 55 ans, séparé d’Isabelle et père de deux enfants, va profiter de ces 55 jours pour prendre soin d’eux et faire le point sur sa vie ; ce qui le conduit aux souvenirs mais aussi à l’avenir… L’avenir, c’est peut-être Marianne, la pharmacienne du quartier… Ses yeux sont verts, et derrière la vitre en plexiglas, une attirance va naître.",312085,https://fr.web.img3.acsta.net/c_310_420/pictures/23/02/21/14/16/3498432.jpg
Assaut,2023-07-12,Drame,90.0,Adilkhan Yerzhanov,Destiny Films,"Nurbek Mukushev,Azamat Nigmanov,Aleksandra Revenko",kazakhstan,Russe,Long-métrage,2022,15,"Les élèves d’un lycée sont pris en otage par des inconnus armés et masqués. Apprenant que l’armée n’arrivera que dans deux jours car une tempête de neige fait rage, Tazshi, le professeur de mathématiques, prend la décision de partir à l’assaut avec son ex-femme, un policier du village, un vétéran d’Afghanistan, un alcoolique, un professeur d’EPS et le directeur de l’école…",280814,https://fr.web.img2.acsta.net/c_310_420/pictures/23/06/20/18/04/4585114.jpg
Les Herbes sèches,2023-07-12,Drame,197.0,Nuri Bilge Ceylan,Memento Distribution,"Deniz Celiloğlu,Merve Dizdar,Musab Ekici",Turquie,Turc,Long-métrage,2023,29,,280585,https://fr.web.img5.acsta.net/c_310_420/pictures/23/06/01/09/22/0157298.jpg
L'Éducation d'Ademoka,2023-07-12,Comédie,89.0,Adilkhan Yerzhanov,Destiny Films,"Adema Yerzhanova,Daniyar Alshinov,Bolat Kalymbetov",kazakhstan,Kazakh,Long-métrage,2022,13,"La jeune Ademoka souhaite aller à l'école mais son statut de Lyuli - sorte de gitan d’Asie Centrale - la destine à la mendicité. Erkin, autrefois écrivain célèbre, aujourd’hui professeur insolite, vient d’être renvoyé de son école. Il va repérer le talent d’Ademoka et décide de la prendre sous son aile, en lui transmettant une éducation.",297553,https://fr.web.img5.acsta.net/c_310_420/pictures/23/06/20/18/04/4694314.jpg
Ollie & compagnie,2023-07-12,Animation,35.0,Anton Setola,Les Films du Whippet,,Belgique,Muet,Long-métrage,2023,3,"En plein cœur d’une ville grouillante, existe un havre de paix. C’est un petit parc, fermé et oublié, une véritable oasis au milieu de la jungle urbaine. C’est le pays d’Ollie, le hibou, de Charlie, la grenouille, de Mabel, la cigogne, et de cinq petits oiseaux. Les amis de Ollie y vivent de nombreuses aventures racontées en 9 chapitres et qui traitent, au niveau des regards d’enfants, des petites (mais essentielles) choses de la vie : la découverte, l’amitié, la solitude,… Il vaut mieux venir à la tombée de la nuit pour rencontrer Ollie et ses complices : c’est le moment où la ville s’endort et où ses habitants vont se coucher. Mais pas nos héros qui, eux, restent bien éveillés pour vivre leurs petites aventures.",315306,https://fr.web.img3.acsta.net/c_310_420/pictures/23/05/11/14/32/1149468.jpg
Entre nous,2023-07-12,Comédie dramatique,97.0,Jude Bauman,KapFilms,"Amandine Noworyta,Iris Jodorowsky,Jean-François Stévenin",France,Français,Long-métrage,2023,5,"Elodie et Laetitia vivent un amour fusionnel et rêvent d’avoir un enfant par PMA (procréation médicalement assistée). Alors qu’Elodie découvre qu’elle ne peut pas tomber enceinte à cause d’un problème de santé. Et que des ennuis financiers viennent contrarier leur projet, elles décident de prendre un colocataire.",302753,https://fr.web.img2.acsta.net/c_310_420/pictures/22/11/24/13/31/4998736.jpg
Les Algues vertes,2023-07-12,Drame,107.0,Pierre Jolivet,Haut et Court,"Céline Sallette,Nina Meurisse,Julie Ferrier",France,Français,Long-métrage,2023,23,"À la suite de morts suspectes, Inès Léraud, jeune journaliste, décide de s’installer en Bretagne pour enquêter sur le phénomène des algues vertes. À travers ses rencontres, elle découvre la fabrique du silence qui entoure ce désastre écologique et social. Face aux pressions, parviendra-t-elle à faire triompher la vérité ?",292652,https://fr.web.img4.acsta.net/c_310_420/pictures/23/05/04/16/18/1042025.jpg
Limbo,2023-07-12,Drame,118.0,Soi Cheang,Kinovista,"Ka Tung Lam,Yase Liu,Mason Lee",Hong-Kong,"Chinois, Japonais, Cantonais",Long-métrage,2021,22,"Dans les bas-fonds de Hong-Kong, un flic vétéran et son jeune supérieur doivent faire équipe pour arrêter un tueur qui s’attaque aux femmes, laissant leur main coupée pour seule signature. Quand toutes leurs pistes s’essoufflent, ils décident d’utiliser une jeune délinquante comme appât.",290331,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/16/10/34/5460585.jpg
Le Retour,2023-07-12,Drame,106.0,Catherine Corsini,Le Pacte,"Aïssatou Diallo Sagna,Suzy Bemba,Esther Gohourou",France,Français,Long-métrage,2023,28,"Khédidja travaille pour une famille parisienne aisée qui lui propose de s'occuper des enfants le temps d’un été en Corse. L'opportunité pour elle de retourner avec ses filles, Jessica et Farah, sur cette île qu'elles ont quittée quinze ans plus tôt dans des circonstances tragiques.",306156,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/12/15/24/2366267.jpg
Petit Jésus,2023-07-12,Comédie,95.0,Julien Rigoulot,Wild Bunch Distribution,"Antoine Bertrand,Esteban Azuara Eymard,Gérard Darmon",France,Français,Long-métrage,2023,14,"Jean, père récemment séparé, enchaîne les galères…",304159,https://fr.web.img6.acsta.net/c_310_420/pictures/23/06/01/16/06/5699218.jpg
Mission: Impossible – Dead Reckoning Partie 1,2023-07-12,Action,163.0,Christopher McQuarrie,Paramount Pictures France,"Tom Cruise,Hayley Atwell,Ving Rhames",U.S.A.,Anglais,Long-métrage,2023,34,"Dans Mission: Impossible - Dead Reckoning Partie 1, Ethan Hunt et son équipe de l’IMF se lancent dans leur mission la plus périlleuse à ce jour : traquer une effroyable nouvelle arme avant que celle-ci ne tombe entre de mauvaises mains et menace l’humanité entière.",270935,https://fr.web.img4.acsta.net/c_310_420/pictures/23/06/16/09/11/1574235.jpg
Maaveeran,2023-07-14,Action,146.0,Madonne Ashwin,Friday Entertainment," Sivakarthikeyan,Aditi Shankar, Mysskin",Inde,Tamoul,Long-métrage,2023,1,None,317601,https://fr.web.img6.acsta.net/c_310_420/pictures/23/07/07/11/09/0275512.jpg
Jesus Revolution,2023-07-18,Drame,120.0,Jon Erwin,-,"Joel Courtney,Anna Grace Barlow,Kimberly Williams-Paisley",U.S.A.,Anglais,Long-métrage,2022,8,"Années 1970. Greg Laurie rencontre Lonnie Frisbee, un prédicateur hippie charismatique, et le pasteur Chuck Smith, qui ont ouvert les portes de l'église de Smith à un flot de jeunes en errance.",275831,https://fr.web.img6.acsta.net/c_310_420/pictures/22/10/24/10/38/1732599.jpg
