titre,fin_semaine_1,boxoffice_1,boxoffice_2,film_id_allocine
Thor: Love And Thunder,20/07/2022,1150926,573326,275207
Sexy movie,03/05/2006,108757,44636,108986
Papa ou maman,11/02/2015,757255,687233,228537
The Lost King,05/04/2023,37431,15590,287759
Whiplash,31/12/2014,138431,122361,225953
Dogville,28/05/2003,122090,78335,28927
Captain Fantastic,19/10/2016,111259,117070,227320
Interdit aux chiens et aux Italiens,01/02/2023,41957,28065,279640
Eyes Wide Shut,29/09/1999,389322,,20502
The Woman King,05/10/2022,100875,81836,263074
Les Ours gloutons,09/06/2021,6829,3983,277756
Dernier train pour Busan,24/08/2016,112016,74678,246702
Gran Torino,04/03/2009,865928,656162,135063
Ready Player One,04/04/2018,889788,470177,229831
Adorables,29/07/2020,69567,33845,268971
La French,26/11/2014,29130,36835,221419
La Conspiration du Caire,02/11/2022,153906,100268,280670
RRRrrrr !!!,04/02/2004,931372,390223,50145
Couleurs de l'incendie,16/11/2022,302030,188727,276718
Mortal Engines,19/12/2018,258165,124874,176755
Happiness Therapy,06/02/2013,283208,204412,145397
Les SEGPA,27/04/2022,228318,126198,293378
Equalizer,08/10/2014,315099,213854,182873
Marseille,23/03/2016,322914,170867,232393
I’m Your Man,29/06/2022,16932,13036,286320
Fall,15/08/2022,2512145,,305333
There Will Be Blood,05/03/2008,180519,112951,109788
Dalva,29/03/2023,24408,13770,289721
Mommy,15/10/2014,340171,223517,223002
Sherlock Holmes,10/02/2010,780449,530802,127179
Un moment d'égarement,01/07/2015,303270,189199,228542
Le Sens de la fête,11/10/2017,808544,432321,247291
28 jours plus tard,04/06/2003,95134,60203,46940
Shazam! La Rage des Dieux,05/04/2023,262525,113121,273207
Tout schuss,20/01/2016,201653,167104,236218
Whitney Houston : I Wanna Dance With Somebody,28/12/2022,64834,61105,282299
Insidious : la dernière clé,10/01/2018,293466,124139,247563
Coupez !,25/05/2022,100526,68284,291483
Fatal,23/06/2010,376835,258975,134542
Alad'2,10/10/2018,851973,382179,242449
Colombiana,03/08/2011,284215,188669,182013
À couteaux tirés,04/12/2019,283889,183408,267546
Empire Of Light,08/03/2023,107051,63540,291817
Menteur,20/07/2022,242165,191336,290507
Arrête-moi si tu peux,19/02/2003,1137654,851346,35973
Alibi.com,22/02/2017,1124383,803476,247411
MR 73,19/03/2008,448334,222357,120882
"No Country for Old Men - Non, ce pays n'est pas pour le vieil homme",30/01/2008,325024,217115,110096
Mon Roi,28/10/2015,315397,184660,226416
The Place Beyond the Pines,27/03/2013,256049,195452,194891
Enquête sur un scandale d'état,16/02/2022,101542,57901,264694
Resident Evil : Bienvenue à Raccoon City,01/12/2021,110288,50233,256409
Downton Abbey,02/10/2019,273446,181315,257122
Le Mans 66,20/11/2019,402917,277941,262396
Blade Runner 2049,11/10/2017,544508,262900,197686
xXx,16/10/2002,535418,268311,39160
Petites,01/03/2023,12466,4783,295064
Drive,12/10/2011,467609,308980,135082
Il était temps,13/11/2013,115791,49992,201760
Les Banshees d'Inisherin,04/01/2023,99482,87626,281293
Le Tourbillon de la vie,28/12/2022,64039,56186,288544
La Famille Asada,01/02/2023,51420,53864,295759
Eiffel,20/10/2021,408803,320027,254015
Emily,22/03/2023,47695,19693,283208
Mon père est femme de ménage,20/04/2011,140666,70208,182713
La Méthode Williams,08/12/2021,90468,59418,272238
Ténor,11/05/2022,126348,68209,293272
Tous en scène 2,29/12/2021,1173587,613995,253538
Bienvenue chez les Ch'tis,27/02/2008,555392,4378720,126535
Arrête avec tes mensonges,01/03/2023,48547,19376,258503
Le Chant du Loup,27/02/2019,448755,347392,256424
L'Odeur du vent,31/05/2023,8528,4978,310409
Super Héros Movie,11/06/2008,95361,59786,125199
Mayday,01/02/2023,160006,87514,278585
Watchmen - Les Gardiens,11/03/2009,377235,167524,57769
Call Me By Your Name,07/03/2018,108500,70135,252439
Ça,27/09/2017,908589,581250,144685
Black Panther: Wakanda Forever,16/11/2022,1692183,725543,263242
Charlie et la chocolaterie,20/07/2005,766547,677656,52933
Premier Contact,14/12/2016,300058,183725,226509
Adieu Les Cons,28/10/2020,600444,206447,274345
L'Exorciste,21/03/2001,621727,410318,27765
Antoinette dans les Cévennes,23/09/2020,173550,181407,272217
Les Amandiers,23/11/2022,104057,54408,286637
Birds of Prey et la fantabuleuse histoire de Harley Quinn,12/02/2020,412178,303575,264177
Pirates des Caraïbes : la Malédiction du Black Pearl,20/08/2003,1181208,855637,46117
Last Night in Soho,03/11/2021,51314,19550,271127
Premiers crus,30/09/2015,135334,96952,231733
Licorice Pizza,12/01/2022,116871,75170,257754
La Promesse de l'aube,27/12/2017,250088,287609,236367
Belle et Sébastien : Nouvelle génération,26/10/2022,179709,171196,290698
Ticket To Paradise,12/10/2022,176153,99571,290725
La Nuit nous appartient,05/12/2007,264579,168395,109680
Cigarettes et chocolat chaud,21/12/2016,64971,33204,244059
Your Name,04/01/2017,77345,49321,249877
The King's Man : Première Mission,05/01/2022,336793,202028,265358
1917,22/01/2020,644738,436107,265567
