titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description,boxoffice
L'Astronaute,15/02/2023,,110.0,Nicolas Giraud, Orange Studio Distribution / Diaphana Distribution ,"Nicolas Giraud,Mathieu Kassovitz,Hélène Vincent",,,Français,Long-métrage,2022,"3,95 M€","3,5","3,9",23 articles de presse,,"Ingénieur en aéronautique chez ArianeGroup, Jim se consacre depuis des années à un projet secret : construire sa propre fusée et accomplir le premier vol spatial habité en amateur. Mais pour réaliser son rêve, il doit apprendre à le partager…",35 020
Le Menu,23/11/2022,,108.0,Mark Mylod, The Walt Disney Company France ,"Ralph Fiennes,Anya Taylor-Joy,Nicholas Hoult",The Menu,,Anglais,Long-métrage,2022,-,"2,8","3,4",17 articles de presse,2 nominations,"Un couple se rend sur une île isolée pour dîner dans un des restaurants les plus en vogue du moment, en compagnie d’autres invités triés sur le volet. Le savoureux menu concocté par le chef va leur réserver des surprises aussi étonnantes que radicales...",124 279
Nope,10/08/2022,"Science fiction,Thriller",130.0,Jordan Peele, Universal Pictures International France ,"Daniel Kaluuya,Keke Palmer,Steven Yeun",,,Anglais,Long-métrage,2022,-,"4,1","3,1",35 articles de presse,,"En Californie, le décès dans des circonstances étranges de leur père amène un frère et une sœur à enquêter sur les causes. Le résultat est effrayant.",224 705
Krypto et les Super-Animaux,27/07/2022,"Fantastique,Aventure,Famille",106.0,Jared Stern, Warner Bros. France ,"Dwayne Johnson,Kevin Hart,Muriel Robin",DC League Of Super-Pets,,Anglais,Long-métrage,2022,-,"3,4","3,2",93 Critiques Spectateurs,,"Krypto, le super-chien de Superman, se trouve face à un défi immense : sauver son maître, enlevé par Lex Luthor et son maléfique cochon d’inde Lulu. Pour cela, il devra faire équipe avec une bande d’animaux au grand cœur mais plutôt maladroits.",333 361
Tant que le soleil frappe,08/02/2023,,85.0,Philippe Petit, Pyramide Distribution ,"Swann Arlaud,Sarah Adler,Grégoire Oestermann",,,Français,Long-métrage,2022,-,"2,9","3,1",10 articles de presse,,"Max ne rêve pas de faire des murs végétaux pour des hôtels cinq étoiles. Paysagiste tenace, engagé mais acculé, il se bat pour créer un jardin sauvage, sans clôture, en plein centre-ville d'une métropole : une zone végétale ouverte à tous. Après des années de refus, son projet arrive en finale d’un concours d’architecture. Pour Max, c’est la dernière chance d’offrir de l’oxygène aux habitants qui suffoquent dans un enfer urbain, sous le soleil qui frappe.",5 849
Un beau matin,05/10/2022,Romance,114.0,Mia Hansen-Løve, Les Films du Losange ,"Léa Seydoux,Pascal Greggory,Melvil Poupaud",,"France,Allemagne",Français,Long-métrage,2022,-,"3,7","3,4",33 articles de presse,1 prix et 1 nomination,"Sandra, jeune mère qui élève seule sa fille, rend souvent visite à son père malade, Georg. Alors qu'elle s'engage avec sa famille dans un parcours du combattant pour le faire soigner, Sandra fait la rencontre de Clément, un ami perdu de vue depuis longtemps...",35 039
Brillantes,18/01/2023,,103.0,Sylvie Gautier, Alba Films ,"Céline Sallette,Thomas Gioria,Camille Lellouche",,,Français,Long-métrage,2022,-,"2,9","2,6",14 articles de presse,,"Karine, femme de ménage, partage sa vie entre son travail de nuit avec ses collègues et Ziggy, son fils de 17 ans. Lorsque l'entreprise qui l'emploie est rachetée tout bascule pour Karine. La pression sociale va la pousser dans ses retranchements et la mettre face à un dilemme : dévoiler un secret ou mentir pour se protéger.",14 143
Ernest et Célestine : le voyage en Charabie,14/12/2022,Famille,79.0,Julien Chheng, StudioCanal ,"Lambert Wilson,Pauline Brunner,Michel Lerousseau",,,Français,Long-métrage,2022,-,"3,7","4,0",39 Critiques Spectateurs,2 nominations,"Ernest et Célestine retournent au pays d’Ernest, la Charabie, pour faire réparer son précieux violon cassé. Ils découvrent alors que la musique est bannie dans tout le pays depuis plusieurs années. Pour nos deux héros, il est impensable de vivre sans musique ! Accompagnés de complices, dont un mystérieux justicier masqué, Ernest et Célestine vont tenter de réparer cette injustice afin de ramener la joie au pays des ours.",171 967
Mon héroïne,14/12/2022,,108.0,Noémie Lefort, Universal Pictures International France ,"Chloé Jouannet,Pascale Arbillot,Louise Coldefy",,,"Français, Anglais",Long-métrage,2022,4 M€,"3,1","3,1",14 articles de presse,,"Depuis son plus jeune âge, Alex ne rêve que d'une chose : réaliser des films. Mais à Rouen, son quotidien est bien loin du glamour hollywoodien. Surprotégée par sa mère Mathilde, elle espère intégrer une prestigieuse école de cinéma à New York. Malheureusement, tout ne se passe pas comme prévu et ses rêves sont brutalement brisés. Refusant d’accepter son sort, Alex décide de partir pour la grosse pomme avec l’aide de son excentrique tante Juliette pour un projet fou : donner son scénario à Julia Roberts. Vite rejointes par Mathilde, cette aventure new-yorkaise va marquer pour les trois femmes le début d’une nouvelle étape de leur vie et les rapprocher plus que jamais.",59 453
Marry Me,09/02/2022,Romance,112.0,Kat Coiro, Universal Pictures International France ,"Jennifer Lopez,Owen Wilson,John Bradley (II)",,,Anglais,Long-métrage,2022,-,"2,6","2,8",5 articles de presse,,"Kat Valdez, une star de la scène musicale forme un couple hyper glamour avec sa future moitié, le jeune chanteur prodige Bastian. Alors que leur duo Marry Me cartonne au box-office, les amoureux ont prévu de se dire oui pour la vie devant un parterre de fans déchainés, lors d’une cérémonie retransmise en multiplexe. Dans la foule, Charlie Gilbert, un professeur de maths divorcé, qui chaperonne sa fille Lou accompagné de sa meilleure amie, assiste bien malgré lui à l’évènement. Mais quand Kat apprend quelques secondes avant la cérémonie que Bastian l’a trompée avec sa propre assistante, sa vie entière est remise en question. Elle entre alors sur scène, bouleversée, et c’est au moment où tout est sur le point de s’écrouler aux yeux de tous qu’elle se raccroche in extremis au visage d’un inconnu dans la foule. Si celui qu’elle connaissait a pu la trahir peut-être qu’un inconnu pourra la sauver. Suivant cette impulsion folle, elle décide d’épouser cet inconnu qui n’est autre que Charlie. Contre toute attente, ce qui avait commencé sur un coup de tête va se transformer en une véritable histoire d’amour. Mais deux personnes issues d’univers si différents peuvent-elles dépasser leurs préjugés et trouver un terrain d’entente, quand tout semble vouloir les séparer ?",64 399
Notre-Dame brûle,16/03/2022,,110.0,Jean-Jacques Annaud, Pathé ,"Samuel Labarthe,Jean-Paul Bordes,Mikaël Chirinian",,,Français,Long-métrage,2022,"16,9M€","3,5","3,8",32 articles de presse,,"Le long métrage de Jean-Jacques Annaud, reconstitue heure par heure l’invraisemblable réalité des évènements du 15 avril 2019 lorsque la cathédrale subissait le plus important sinistre de son histoire. Et comment des femmes et des hommes vont mettre leurs vies en péril dans un sauvetage rocambolesque et héroïque.",388 293
Ramona fait son cinéma,17/05/2023,Romance,80.0,Andrea Bagney, UFO Distribution ,"Lourdes Hernández,Bruno Lastra,Francesco Carril",Ramona,,Espagnol,Long-métrage,2022,-,"2,7","2,9",6 articles de presse,,"De retour à Madrid avec son petit ami Nico, Ramona veut tenter sa chance comme actrice. La veille d’une première audition, elle fait une rencontre pleine de promesses. Elle ne se doute pas que celle-ci va chambouler ses rêves et ses certitudes.",9 767
La Naissance des oasis,29/03/2023,Famille,41.0,Elena Walf, Cinéma Public Films ,,,"Allemagne,Danemark,France,République tchèque",Français,Long-métrage,2022,-,"3,7","2,6",4 Critiques Spectateurs,,"Un jardin plein de mystères, des gouttes de pluie qui s’unissent en communauté éphémère, une oasis drôle et colorée ou encore des bergères qui dansent avec les nuages… Le cinéma est parfois là pour nous rappeler qu’il y a tout autour de nous de multiples raisons de s’émerveiller et de rêver. Enfin, n’oublions pas qu’il existe dans la nature, un petit quelque chose qui vaut plus que l’or, le pétrole et les diamants: le germe de la vie.",5 529
Grand Paris,29/03/2023,,72.0,Martin Jauvat, JHR Films ,"Mahamadou Sangaré,Martin Jauvat,William Lebghil",,,Français,Long-métrage,2022,-,"3,7","3,2",16 articles de presse,,"Leslie et Renard, deux jeunes glandeurs de banlieue parisienne, trouvent un mystérieux objet sur un chantier de la future ligne de métro du Grand Paris. Artefact, talisman antique, ou relique d’une civilisation disparue ? Persuadés d’avoir trouvé la poule aux œufs d’or, les deux amis mènent l’enquête, avec les moyens du bord, le temps d’une folle nuit aux quatre coins de l’Île de France.",6 676
99 Moons,10/05/2023,Romance,111.0,Jan Gassmann, La Vingt-Cinquième Heure ,"Valentina Di Pace,Dominik Fellmann,Danny Exnar",,,Suisse allemand,Long-métrage,2022,-,"2,6","2,7",11 articles de presse,,"Bigna, sismologue de 28 ans, veut tout contrôler, jusqu’à ses jeux érotiques où elle domine ses partenaires. Frank, 33 ans, travaille de nuit dans des clubs où il s’évade dans les paradis artificiels et les relations sans lendemain. Ces deux mondes que tout oppose entrent en collision, puis s’unissent, entre attraction sexuelle et désir de liberté, déclenchant une folle histoire d'amour qui s’égrène sur 99 lunes.",1 170
Coma,16/11/2022,,80.0,Bertrand Bonello, New Story ,"Louise Labeque,Julia Faure,Laetitia Casta",,,Français,Long-métrage,2022,-,"3,3","2,4",18 articles de presse,,"Une adolescente a un pouvoir, celui de nous faire entrer dans ses rêves. Mais aussi dans ses cauchemars. Enfermée dans sa chambre, son seul rapport au monde extérieur est virtuel. Elle navigue entre fiction et réalité, guidée par une youtubeuse inquiétante et mystérieuse, Patricia Coma.",5 074
Le Petit Piaf,21/12/2022,Musical,95.0,Gérard Jugnot, Gaumont Distribution ,"Marc Lavoine,Soan Arhimann,Gérard Jugnot",,,Français,Long-métrage,2022,-,"2,1","2,7",8 articles de presse,2 nominations,"Dans un village de La Réunion, Nelson, 10 ans, rêve de devenir un grand chanteur et ainsi rendre fière sa mère qui l’élève seule. Après avoir postulé à l’émission télévisée Star Kids avec l’aide de ses amis Mia et Zizou, ils décident de trouver un coach pour préparer son concours. Par chance, Pierre Leroy, chanteur célèbre à la carrière en berne, est en tournée sur l’île. Mais le courant passe difficilement entre Pierre, solitaire et désenchanté, et Nelson fier et obstiné. Leur seul point commun, l’amour du chant. Sera-t-il assez fort pour les rapprocher ? Assez fort pour que Nelson renoue avec sa mère et que Pierre retrouve l’envie de ses débuts ?",65 637
L'Emprise du démon,11/01/2023,,93.0,Oliver Park, Metropolitan FilmExport ,"Nick Blood,Emily Wiseman,Paul Kaye",The Offering,"Grande-Bretagne,U.S.A.",Anglais,Long-métrage,2022,-,"1,4","1,7",5 articles de presse,,"Alors qu’ils attendent leur premier enfant, Claire et Arthur décident de renouer les liens familiaux. Le jeune couple s’installe dans la vétuste entreprise de pompes funèbres tenue par Saul, le père d’Arthur. Mais l’arrivée d’un mystérieux cadavre va les faire basculer dans l’horreur : la dépouille contient une entité surnaturelle, Abyzou, qui une fois libérée, veut posséder l’enfant à venir du couple. Face à ce démon, personne n’est à l’abri…",85 068
"Kanun, la loi du sang",07/12/2022,,95.0,Jérémie Guez, The Jokers / Les Bookmakers ,"Waël Sersoub,Tuğba Sunguroğlu,Arben Bajraktaraj",,"France,Belgique","Français, Albanian",Long-métrage,2022,2 M€,"3,0","3,1",12 articles de presse,,"Lorik a fui son Albanie natale pour échapper à une vendetta. À Bruxelles, il gâche sa jeunesse en travaillant pour un clan mafieux aux méthodes douteuses… Jusqu’à ce qu’il ait un coup de foudre pour Sema, une jeune turque étudiante aux Beaux-Arts. Alors qu’il se met à rêver d’une histoire d’amour, un homme dont le père a été tué par un membre de la famille de Lorik réclame, selon les règles du Kanun, que sa dette soit payée par le sang : celui de Lorik…",5 398
Peter von Kant,06/07/2022,"Drame,Comédie",86.0,François Ozon, Diaphana Distribution ,"Denis Ménochet,Isabelle Adjani,Khalil Gharbia",,,Français,Long-métrage,2022,-,"3,6","2,8",34 articles de presse,4 nominations,"Peter Von Kant, célèbre réalisateur à succès, habite avec son assistant Karl, qu’il se plaît à maltraiter. Grâce à la grande actrice Sidonie, il rencontre et s’éprend d’Amir, un jeune homme d’origine modeste. Il lui propose de partager son appartement et de l’aider à se lancer dans le cinéma...",42 675
The Outfit,,"Thriller,Policier",106.0,Graham Moore,"
1 nomination
","Mark Rylance,Dylan O'Brien,Johnny Flynn",,"U.S.A.,Grande-Bretagne","Anglais, Français",Long-métrage,2022,-,"3,6",,39 Critiques Spectateurs,,"Leonard, un tailleur anglais, crée des costumes dans le célèbre quartier de Savile Row à Londres. Mais après une tragédie personnelle, il part à Chicago, où il tient une petite boutique dans un quartier défavorisé. Malheureusement dans cette ville, seuls les gangsters peuvent se payer les vêtements chics et coûteux qu'il conçoit.",1 510 000
Temps Mort,03/05/2023,,118.0,Eve Duchemin, Pyramide Distribution ,"Karim Leklou,Issaka Sawadogo,Jarod Cousyns",,"Belgique,France",Français,Long-métrage,2022,"2,5 M€","3,3","3,7",20 articles de presse,,"Pour la première fois depuis longtemps, trois détenus se voient accorder une permission d’un week-end. 48h pour atterrir. 48h pour renouer avec leurs proches. 48h pour tenter de rattraper le temps perdu.",5 321
Une comédie romantique,16/11/2022,Romance,98.0,Thibault Segouin, Alba Films ,"Alex Lutz,Golshifteh Farahani,Olivier Chantreau",,,Français,Long-métrage,2022,2 M€,"2,9","2,9",17 articles de presse,1 prix et 2 nominations,"Après avoir disparu du jour au lendemain, César réapparaît dans la vie de Salomé et découvre qu’il est le père d’une petite fille de 3 ans. Cette fois, il va tout faire pour être à la hauteur de leur histoire.",10 405
Enzo le Croco,30/11/2022,"Musical,Comédie",107.0,Will Speck, Sony Pictures Releasing France ,"Doryan Ben,Shawn Mendes,Javier Bardem","Lyle, Lyle, Crocodile",,Anglais,Long-métrage,2022,-,"2,6","3,3",5 articles de presse,,"Quand la famille Primm déménage à New York, leur jeune fils Josh peine à s'adapter à sa nouvelle école et à ses nouveaux camarades. Tout cela change quand il découvre Enzo - un crocodile chanteur qui aime les bains et le caviar – et qui vit dans le grenier de sa nouvelle maison. Enzo et Josh deviennent rapidement amis, mais lorsque l'existence de l’insolite crocodile est menacée par leur diabolique voisin, M. Grumps, les Primm s'allient avec Hector P. Valenti, le propriétaire d’Enzo, afin de prouver au monde qu’une famille peut toujours s’improviser, et qu'il n'y a aucun mal à intégrer un grand reptile mélomane, doté d'une personnalité haute en couleur et d’une incroyable voix.",132 431
Trenque Lauquen - Partie 2,03/05/2023,,133.0,Laura Citarella, Capricci Films ,"Laura Paredes,Juliana Muras,Ezequiel Pierri",Trenque Lauquen parte II,,Espagnol,Long-métrage,2022,-,"4,2","3,4",13 articles de presse,,,1 913
Ima,11/05/2022,Romance,90.0,Nils Tavernier, Pathé Live ," Dadju,Karidja Touré, Djimo",,,Français,Long-métrage,2022,-,"2,8","2,3",4 articles de presse,,"Dadju se rend à Kinshasa, la ville de son enfance, pour donner un concert dans quelques jours. Laetitia, une de ses plus grandes fans, rêve d’y assister mais le concert affiche complet. Elle supplie alors son père de jouer des connexions de son patron Yavan, un puissant et riche homme d’affaires, pour lui trouver des places. Celui-ci convainc Dadju de se produire pour un concert privé dans sa propriété, espérant ainsi séduire la sœur de Laetitia, l’envoûtante Ima. Mais pendant le concert, le coup de foudre est immédiat pour Dadju qui ne quitte plus Ima des yeux…",43 862
Méduse,26/10/2022,Romance,86.0,Sophie Levy (II), Wayna Pitch ,"Anamaria Vartolomei,Roxane Mesquida,Arnaud Valois",,,Français,Long-métrage,2022,-,"3,4","2,9",14 articles de presse,,"Romane rentre tard chez elle en compagnie de Guillaume dont elle tombe rapidement amoureuse. Le lendemain matin, Guillaume découvre une fille dans le salon. C'est Clémence, la sœur de Romane, restée hémiplégique et privée de la parole des suites d’un accident. Guillaume se sent alors investi d’une mission : redonner corps et vie à Clémence.",1 847
Sword Art Online - Progressive - Scherzo of Deep Night,03/12/2022,"Science fiction,Aventure",101.0,Ayako Kôno, CGR EVENTS ,"Haruka Tomatsu,Yoshitsugu Matsuoka,Shiori Izawa",Gekijō-ban Sword Art Online: Progressive Kuraki Yūyami no Scherzo,,Japonais,Long-métrage,2022,-,"3,5",,19 Photos,,"« Vous êtes peut-être dans un jeu, mais vous n'êtes pas là pour jouer. »",22 622
"Un an, une nuit",03/05/2023,,130.0,Isaki Lacuesta, StudioCanal ,"Noémie Merlant,Nahuel Perez Biscayart,Quim Gutiérrez","Un año, una noche","Espagne,France","Espagnol, Français",Long-métrage,2022,-,"2,5","3,0",17 articles de presse,9 nominations,"Le soir du 13 novembre 2015, Ramón et Céline, un jeune couple, assistent au concert du Bataclan. Ils réchappent à l’attaque terroriste, mais ne parviennent pas à reprendre une vie normale. Tandis que Céline cherche désespérément à oublier cette nuit cauchemardesque, Ramón se repasse inlassablement les événements dans la tête, comme pour trouver un sens à l’horreur. ​ ​Pourtant, ils doivent désormais affronter la même question : comment surmonter l’épreuve et se tourner de nouveau, ensemble, vers la vie ?",6 373
Rebel,31/08/2022,"Action,Thriller",135.0,Adil El Arbi, Bac Films ,"Aboubakr Bensaihi,Lubna Azabal,Tara Abboud",,"Belgique,Luxembourg,France","Français, Arabe, Anglais, Néerlandais",Long-métrage,2022,-,"2,6","3,9",13 articles de presse,,"Kamal décide de se rendre en Syrie afin de venir en aide aux victimes de la guerre. Mais à son arrivée, il est forcé de rejoindre un groupe armé et se retrouve bloqué à Raqqa.",17 454
La Maleta,24/05/2023,Policier,108.0,Jorge Dorado, KMBO ,"Álvaro Morte,Verónica Echegui,María Eugenia Suárez",Objetos,"Espagne,Argentine,Allemagne",Espagnol,Long-métrage,2022,-,"2,1","2,7",10 articles de presse,6 nominations,"Mario travaille à Madrid au bureau des objets trouvés. Un jour, on lui remet une valise trouvée au fond d’une rivière. À l’intérieur, Mario trouve des vêtements et des ossements d’enfants. La police n’étant pas résolue à enquêter, il décide alors de mener ses propres recherches, au péril de sa vie.",16 793
A propos de Joan,14/09/2022,Romance,101.0,Laurent Larivière, Haut et Court ,"Isabelle Huppert,Lars Eidinger,Freya Mavor",,"France,Allemagne,Irlande",Français,Long-métrage,2022,"4,3M€","2,9","2,9",20 articles de presse,2 nominations,"Joan Verra a toujours été une femme indépendante, amoureuse, habitée par un esprit libre et aventureux. Lorsque son premier amour revient sans prévenir après des années d’absence, elle décide de ne pas lui avouer qu’ils ont eu un fils ensemble. Ce mensonge par omission est l’occasion pour elle de revisiter sa vie : sa jeunesse en Irlande, sa réussite professionnelle, ses amours et sa relation à son fils. Une vie comblée. En apparence.",10 441
Petaouchnok,09/11/2022,,96.0,Edouard Deluc, Apollo Films ,"Pio Marmaï,Philippe Rebbot,Camille Chamoux",,,Français,Long-métrage,2022,-,"3,0","2,2",9 articles de presse,2 nominations,"Au cœur des Pyrénées, deux amis ont l'idée du siècle pour se sortir de la précarité : lancer une chevauchée fantastique à travers la montagne, pour touristes en mal de nature, de silence, d'aventure.",49 948
En roue libre,29/06/2022,,89.0,Didier Barcelo, Memento Distribution ,"Marina Foïs,Benjamin Voisin,Jean-Charles Clichet",,,Français,Long-métrage,2022,3 M€,"3,4","3,5",24 articles de presse,,"La folle histoire de Louise qui se retrouve un beau matin, prise au piège dans sa propre voiture, terrassée par une attaque de panique dès qu’elle veut en sortir, et de Paul qui vole la voiture et du coup la kidnappe. Les voilà tous les deux embarqués dans un road-movie mouvementé !",36 624
Maria rêve,28/09/2022,Romance,92.0,Lauriane Escaffre, UGC Distribution ,"Karin Viard,Grégory Gadebois,Noée Abita",,,Français,Long-métrage,2022,-,"3,3","3,4",16 articles de presse,1 prix et 1 nomination,"Maria est femme de ménage. Mariée depuis 25 ans, réservée, timide et maladroite, elle ne quitte jamais son carnet à fleurs dans lequel elle écrit des poèmes en secret. Lorsqu’elle est affectée à l'École des Beaux-Arts, elle rencontre Hubert, le gardien fantasque de l'école, et découvre un lieu fascinant où règnent la liberté, la créativité et l'audace... Dans ce monde si nouveau, Maria, qui a toujours été dévouée et discrète, va-t-elle enfin se laisser envahir par la vie ?",71 211
Chevalier Noir,22/02/2023,,102.0,Emad Aleebrahim Dehkordi, Jour2fête ,"Iman Sayad Borhani,Payar Allahyari,Masoumeh Beygi",A Tale of Shemroon,"France,Iran,Allemagne,Italie",Farsi,Long-métrage,2022,-,"3,4","3,2",14 articles de presse,,"Iman et son jeune frère Payar vivent avec leur père dans un quartier du nord de Téhéran. Après la mort de leur mère, Iman cherche à tout prix à sortir de l’impasse d’une vie étouffante et profite de ses relations privilégiées avec la jeunesse dorée de Téhéran pour se lancer dans un petit trafic juteux. Mais ce qui semblait être le chemin vers un nouveau départ les entraîne dans une spirale qui va bouleverser leur destin.",9 284
Joyeuse retraite 2,20/07/2022,,92.0,Fabrice Bracq, SND ,"Michèle Laroque,Thierry Lhermitte,Constance Labbé",,,Français,Long-métrage,2022,-,"1,4","1,9",5 articles de presse,,"lls pensaient enfin passer une retraite tranquille… 3 ans ont passé. Marilou et Philippe décident de faire découvrir à leurs petits-enfants leur nouvelle maison de vacances au Portugal. Mais une fois sur place, ils découvrent horrifiés que la maison est encore en chantier ! Ce n’est que le début des galères pour les grands-parents car bientôt… ils perdent les gamins. Il ne leur reste plus que deux jours pour les retrouver, avant que leurs parents ne les rejoignent…",155 491
Avant l’effondrement,19/04/2023,,100.0,Alice Zeniter, Pyramide Distribution ,"Niels Schneider,Ariane Labed,Souheila Yacoub",,,Français,Long-métrage,2022,"2,4 M€","3,1","3,0",14 articles de presse,,"Dans un Paris caniculaire, Tristan, directeur de campagne d’une candidate aux législatives, reçoit un courrier anonyme contenant un test de grossesse positif. Parce qu’il est peut-être atteint d’une maladie génétique mortelle et incurable, il devient obsédé par l’idée de retrouver la femme qui lui a envoyé ce test. Mais a-t-il affaire à une blague morbide, une vengeance froide, un appel à l’aide ou à une manœuvre politique ? Tristan décide de mener l’enquête, au péril de sa vie professionnelle et affective.",11 869
Harka,02/11/2022,,82.0,Lotfy Nathan, Dulac Distribution ,"Adam Bessa,Salima Maatoug,Ikbal Harbi",,"France,Luxembourg,Tunisie,Belgique",Arabe,Long-métrage,2022,-,"4,0","3,8",25 articles de presse,1 prix et 10 nominations,"Ali, jeune tunisien rêvant d’une vie meilleure, mène une existence solitaire, en vendant de l’essence de contrebande au marché noir. À la mort de son père, il doit s’occuper de ses deux sœurs cadettes, livrées à elles-mêmes dans une maison dont elles seront bientôt expulsées. Face à cette soudaine responsabilité et aux injustices auxquelles il est confronté, Ali s’éveille à la colère et à la révolte. Celle d’une génération qui, plus de dix ans après la révolution, essaie toujours de se faire entendre…",9 053
Chœur de Rockers,28/12/2022,Musical,91.0,Ida Techer, UGC Distribution ,"Mathilde Seigner,Bernard Le Coq,Anne Benoit",,,Français,Long-métrage,2022,-,"3,3","3,4",6 articles de presse,,"Alex, chanteuse dont la carrière peine à décoller, accepte un drôle de job : faire chanter des comptines à une chorale de retraités. Elle découvre un groupe de séniors ingérables qui ne rêve que d’une chose, chanter du rock ! La mission d’Alex va s’avérer plus compliquée que prévu avec la plus improbable des chorales…",125 465
Men,08/06/2022,Drame,100.0,Alex Garland, Metropolitan FilmExport ,"Jessie Buckley,Rory Kinnear,Paapa Essiedu",,,Anglais,Long-métrage,2022,-,"3,4","2,4",24 articles de presse,,"Après avoir vécu un drame personnel, Harper décide de s’isoler dans la campagne anglaise, en espérant pouvoir s’y reconstruire. Mais une étrange présence dans les bois environnants semble la traquer. Ce qui n’est au départ qu’une crainte latente se transforme en cauchemar total, nourri par ses souvenirs et ses peurs les plus sombres.",37 421
Les Harkis,12/10/2022,Drame,82.0,Philippe Faucon, Pyramide Distribution ,"Théo Cholbi,Mohamed El Amine Mouffok,Pierre Lottin",,"France,Belgique",Français,Long-métrage,2022,-,"3,9","3,3",22 articles de presse,2 nominations,"Fin des années 50, début des années 60, la guerre d’Algérie se prolonge. Salah, Kaddour et d’autres jeunes Algériens sans ressources rejoignent l’armée française, en tant que harkis. Á leur tête, le lieutenant Pascal. L'issue du conflit laisse prévoir l'indépendance prochaine de l'Algérie. Le sort des harkis paraît très incertain. Pascal s’oppose à sa hiérarchie pour obtenir le rapatriement en France de tous les hommes de son unité.",18 899
Women Talking,08/03/2023,,104.0,Sarah Polley, Universal Pictures International France ,"Rooney Mara,Claire Foy,Jessie Buckley",,,Anglais,Long-métrage,2022,-,"3,3","3,4",28 articles de presse,1 prix et 3 nominations,"En 2010, les femmes d’une communauté religieuse isolée se débattent pour réconcilier leur foi et la réalité de leur existence.",17 688
Alma Viva,12/04/2023,,88.0,Cristèle Alves Meira, Tandem ,"Lua Michel,Ana Padrão,Jacqueline Corado",,"Portugal,France",Portugais,Long-métrage,2022,-,"3,3","3,7",22 articles de presse,9 nominations,"Comme chaque été, la petite Salomé retrouve le village familial, niché au creux des montagnes portugaises, le temps des vacances. Tandis que celles-ci commencent dans l’insouciance, sa grand-mère adorée meurt subitement. Alors que les adultes se déchirent au sujet des obsèques, Salomé est hantée par l’esprit de celle que l'on considérait comme une sorcière.",12 574
Les Goûts et les couleurs,22/06/2022,,110.0,Michel Leclerc, Pyramide Distribution ,"Rebecca Marder,Félix Moati,Judith Chemla",,,Français,Long-métrage,2022,-,"3,4","3,3",22 articles de presse,,"Marcia, jeune chanteuse passionnée, enregistre un album avec son idole Daredjane, icône rock des années 1970, qui disparait soudainement. Pour sortir leur album, elle doit convaincre l’ayant-droit de Daredjane, Anthony, placier sur le marché d’une petite ville, qui n’a jamais aimé sa lointaine parente et encore moins sa musique. Entre le bon et le mauvais goût, le populaire et le chic, la sincérité et le mensonge, leurs deux mondes s’affrontent. À moins que l’amour, bien sûr...",30 520
En même temps,06/04/2022,,106.0,Gustave Kervern, Ad Vitam ,"Vincent Macaigne,Jonathan Cohen,India Hair",,,Français,Long-métrage,2022,"2,9 M€","3,4","2,4",29 articles de presse,,"A la veille d’un vote pour entériner la construction d’un parc de loisirs à la place d’une forêt primaire, un maire de droite décomplexée essaye de corrompre son confrère écologiste. Mais ils se font piéger par un groupe de jeunes activistes féministes qui réussit à les coller ensemble. Une folle nuit commence alors pour les deux hommes, unis contre leur gré.",70 112
Dounia et la princesse d’Alep,01/02/2023,"Fantastique,Aventure",73.0,Marya Zarif, Haut et Court ,"Rahaf Ataya,Elsa Mardirossian,Manuel Tadros",,,Français,Long-métrage,2022,-,"3,7","3,6",20 Critiques Spectateurs,,"Dounia a 6 ans, elle quitte Alep avec quelques graines de nigelle au creux de la main et avec l’aide de la princesse d’Alep, Dounia fait le voyage vers un nouveau monde…",15 477
Citoyen d'honneur,14/09/2022,Drame,96.0,Mohamed Hamidi, Apollo Films ,"Kad Merad,Fatsah Bouyahmed,Oulaya Amamra",,,"Français, Arabe",Long-métrage,2022,-,"3,2","2,9",19 articles de presse,,,57 538
Nos soleils,18/01/2023,,120.0,Carla Simón, Pyramide Distribution ,"Jordi Pujol Dolcet,Anna Otín,Xenia Roset",Alcarràs,"Espagne,Italie",Espagnol,Long-métrage,2022,-,"3,9","3,6",24 articles de presse,1 prix et 8 nominations,"Depuis des générations, les Solé passent leurs étés à cueillir des pêches dans leur exploitation à Alcarràs, un petit village de Catalogne. Mais la récolte de cette année pourrait bien être la dernière car ils sont menacés d’expulsion. Le propriétaire du terrain a de nouveaux projets : couper les pêchers et installer des panneaux solaires. Confrontée à un avenir incertain, la grande famille, habituellement si unie, se déchire et risque de perdre tout ce qui faisait sa force...",20 951
Les Femmes du square,16/11/2022,,105.0,Julien Rambaldi, UGC Distribution ,"Eye Haïdara,Ahmed Sylla,Léa Drucker",,,Français,Long-métrage,2022,-,"3,3","3,5",19 articles de presse,,"Angèle, jeune femme ivoirienne, s’en est toujours sortie grâce à sa tchatche et à son culot. Pour s’éviter les représailles d’une bande de malfrats, elle parvient à se faire embaucher comme nounou d’Arthur, un garçon de 8 ans des beaux quartiers.",105 828
