titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description,boxoffice
Le Calendrier,01/12/2021,Epouvante-horreur,104.0,Patrick Ridremont, Alba Films ,"Eugénie Derouand,Honorine Magnier,Clément Olivieri",,"France,Belgique",Français,Long-métrage,2020,-,"2,5","2,5",6 articles de presse,,"Eva est paraplégique depuis trois ans. Pour son anniversaire, elle reçoit en cadeau un étrange calendrier de l’Avent. Mais ce ne sont pas les traditionnelles friandises qu’elle découvre chaque jour, mais des surprises plus inquiétantes, parfois agréables, souvent terrifiantes, et de plus en plus sanglantes. Cette année, Noël va être mortel !",27 119
J’irai mourir dans les Carpates,16/09/2020,Thriller,96.0,Antoine de Maximy, Apollo Films ,"Antoine de Maximy,Alice Pol,Max Boublil",,,Français,Long-métrage,2020,-,"2,5","3,7",15 articles de presse,,"L’histoire commence par un banal accident de voiture sur une route montagneuse des Carpates. La voiture d'Antoine de Maximy, le présentateur de la série ""J'irai dormir chez vous"" a été emportée dans une rivière et son corps n’a pas été retrouvé. Le matériel et les images du globe-squatteur sont rapatriés à Paris. Agnès, la monteuse de la série, décide de terminer ce dernier épisode. Après avoir visionné les images elle s’attaque au montage du film. Mais des détails attirent l'attention d'Agnès. Petit à petit le doute s'insinue. L’histoire n’est peut-être pas aussi simple...",50 838
Riders of Justice,,"Comédie,Action",111.0,Anders Thomas Jensen,,"Mads Mikkelsen,Nikolaj Lie Kaas,Andrea Heick Gadeberg",Retfærdighedens Ryttere,,Danois,Long-métrage,2020,"5,3 M€","3,9",,84 Critiques Spectateurs,,"Markus, militaire danois en poste en Afghanistan, rentre précipitamment chez lui après la mort de son épouse dans un accident de métro pour s'occuper de leur fille. Un rescapé, Otto, prend contact avec Markus et lui explique que l'accident était en fait un attentat soigneusement orchestré.",15 441
Felicità,15/07/2020,,82.0,Bruno Merle, Rezo Films ,"Pio Marmaï,Rita Merle,Camille Rutherford",,,Français,Long-métrage,2020,-,"3,2","3,6",15 articles de presse,,"Pour Tim et Chloé, le bonheur c'est au jour le jour et sans attache.",13 933
Antebellum,09/09/2020,,106.0,Gerard Bush, Metropolitan FilmExport ,"Janelle Monáe,Jena Malone,Kiersey Clemons",,,Anglais,Long-métrage,2020,-,"3,1","2,8",10 articles de presse,,"L'auteure à succès, Veronica Henley, se retrouve piégée dans un monde effroyable dont elle doit percer le mystère avant qu'il ne soit trop tard.",85 213
Teddy,30/06/2021,"Fantastique,Epouvante-horreur",88.0,Ludovic Boukherma, The Jokers / Les Bookmakers ,"Anthony Bajon,Christine Gautier,Ludovic Torrent",,,Français,Long-métrage,2020,-,"3,6","3,0",34 articles de presse,2 prix et 4 nominations,,20 269
Une vie démente,10/11/2021,,87.0,Ann Sirot, Arizona Distribution ,"Jo Deseure,Jean Le Peltier,Lucie Debay",,,Français,Long-métrage,2020,-,"3,5","3,9",17 articles de presse,2 nominations,"Alex et Noémie voudraient avoir un enfant. Leurs plans sont chamboulés quand la mère d’Alex, Suzanne, adopte un comportement de plus en plus farfelu. Entre l’enfant désiré et l’enfant que Suzanne redevient, tout s’emmêle. C’est l’histoire d’un rodéo, la traversée agitée d’un couple qui découvre la parentalité à l’envers !",9 306
Des hommes,02/06/2021,Historique,101.0,Lucas Belvaux, Ad Vitam ,"Gérard Depardieu,Catherine Frot,Jean-Pierre Darroussin",,,Français,Long-métrage,2020,-,"3,1","2,9",32 articles de presse,2 nominations,"Ils ont été appelés en Algérie au moment des ""événements"" en 1960. Deux ans plus tard, Bernard, Rabut, Février et d'autres sont rentrés en France. Ils se sont tus, ils ont vécu leurs vies. Mais parfois il suffit de presque rien, d'une journée d'anniversaire, d'un cadeau qui tient dans la poche, pour que quarante ans après, le passé fasse irruption dans la vie de ceux qui ont cru pouvoir le nier.",75 111
Albatros,03/11/2021,,115.0,Xavier Beauvois, Pathé ,"Jérémie Renier,Marie-Julie Maille,Victor Belmondo",,,Français,Long-métrage,2020,-,"3,7","2,9",31 articles de presse,9 nominations,"Laurent, un commandant de brigade de la gendarmerie d’Etretat, prévoit de se marier avec Marie, sa compagne, mère de sa fille surnommée Poulette. Il aime son métier malgré une confrontation quotidienne avec la misère sociale. En voulant sauver un agriculteur qui menace de se suicider, il le tue. Sa vie va alors basculer.",47 815
The Hunt,22/06/2020,Thriller,91.0,Craig Zobel, Universal Pictures International France ,"Betty Gilpin,Hilary Swank,Wayne Duvall",,,Anglais,Long-métrage,2020,-,"3,2","3,0",16 articles de presse,,"Sur fond d’obscure théorie du complot sur internet, un groupe de dirigeants se rassemble pour la première fois dans un manoir retiré, afin de se divertir en chassant de simples citoyens américains. Mais leurs sombres desseins vont être mis en péril par Crystal, une de leurs proies, capable de les battre à leur propre jeu. La jeune femme renverse les règles, et abat un par un les chasseurs qui la séparent de la mystérieuse femme qui tire les ficelles de ce passe-temps macabre.",19 864
The King Of Staten Island,22/07/2020,Drame,137.0,Judd Apatow, Universal Pictures International France ,"Pete Davidson,Marisa Tomei,Bill Burr",,,Anglais,Long-métrage,2020,-,"3,8","3,8",29 articles de presse,,"Il semblerait que le développement de Scott ait largement été freiné depuis le décès de son père pompier, quand il avait 7 ans. Il en a aujourd’hui 24 et entretient le doux rêve d’ouvrir un restaurant/salon de tatouage. Alors que sa jeune soeur Claire, sociable et bonne élève, part étudier à l’université, Scott vit toujours au crochet de sa mère infirmière, Margie, et passe le plus clair de son temps à fumer de l’herbe, à traîner avec ses potes Oscar, Igor et Richie et à coucher en cachette avec son amie d’enfance Kelsey. Mais quand, après 17 ans de veuvage, sa mère commence à fréquenter Ray, lui aussi pompier, Scott va voir sa vie chamboulée et ses angoisses exacerbées. L’adolescent attardé qu’il est resté va enfin devoir faire face à ses responsabilités et au deuil de son père.",14 320
Haute couture,10/11/2021,"Drame,Comédie",101.0,Sylvie Ohayon, UGC Distribution ,"Nathalie Baye,Lyna Khoudri,Pascale Arbillot",,,Français,Long-métrage,2020,-,"2,9","3,0",10 articles de presse,,"Première d’atelier au sein de la Maison Dior, Esther participe à sa dernière collection de Haute Couture avant de prendre sa retraite. Un jour, elle se fait voler son sac dans le métro par Jade, 20 ans. Mais celle-ci, prise de remords, décide de lui restituer son bien. Séduite malgré elle par l’audace de la jeune fille et convaincue qu’elle a un don, Esther lui offre la chance d’intégrer les ateliers de la Maison Dior comme apprentie. L’occasion de transmettre à Jade un métier exercé depuis toujours pour la beauté du geste...",92 692
