titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,note_presse,note_spectateurs,nombre_article,recompenses,description
Black is Beltza II: Ainhoa,16/11/2022,Thriller,80,Fermin Muguruza, Urban Distribution ,"Itziar Ituño,Ariadna Gil,Antonio de la Torre",,,"Espagnol, Basque, Anglais, Français",Long-métrage,2022,-,"2,8","3,3",7 Critiques Spectateurs,,"Vingt ans après le premier opus, le film raconte, sous la forme du voyage initiatique de son héroïne Ainhoa, la fin de la Guerre froide et la répression policière espagnole face à une nouvelle génération d'activistes basques ayant soif de musique et de liberté."
Cici,,,151,Berkun Oya,,"Fatih Artman,Ayça Bingöl,Funda Eryiğit",,,Turc,Long-métrage,2022,-,"3,4",,,,"Une famille s'installe en ville après une perte tragique. Quand elle retourne dans son village natal 30 ans plus tard, émotions et douloureux secrets enfouis refont surface."
Love like the falling petals,,Drame,128,Yoshihiro Fukagawa,,"Kento Nakajima,Honoka Matsumoto,Kento Nagayama",,,Japonais,Long-métrage,2022,-,"3,7",,2 Critiques Spectateurs,,Un jeune photographe en herbe tombe fou amoureux d'une coiffeuse pleine de vie. L'avenir leur appartient... jusqu'à ce qu'un coup du sort les anéantisse.
Le Monde de Kaleb,02/11/2022,,67,Vasken Toranian, JHR Films ,,,,Français,Long-métrage,2022,-,"3,3","3,3",25 Critiques Spectateurs,,"Dans le monde du jeune Kaleb, il y a sa mère sans papiers Betty, son grand frère de substitution Mehdi, et surtout Jean-Luc, le tailleur solitaire qui s'est pris d'affection pour ce petit garçon. Dans la foule des anonymes de Paris, ils n'auraient jamais dû se croiser. Le destin les a pourtant rassemblés pour former une famille improvisée, liée par la mission de construire un futur à Kaleb."
Klondike,,,100,Maryna Er Gorbach, Filmo ,"Oksana Cherkashyna,Evgeniy Efremov,Sergiy Shadrin",,"Ukraine,Turquie","ukrainien, Tchèque, Russe, Néerlandais",Long-métrage,2022,-,"3,1",,1 Critique Spectateur,,"L'histoire d'une famille ukrainienne vivant à la frontière entre la Russie et l'Ukraine au début de la guerre. Irka, enceinte, refuse de quitter sa maison alors même que le village est capturé par les forces armées. Peu après, elle et son mari se retrouvent au centre d'une catastrophe aérienne internationale."
Thar : Les trois cibles,,,108,Raja Singh Choudhary,,"Sanjay Bishnoi,Anil Kapoor,Harshvardhan Kapoor",Thar,,Hindi,Long-métrage,2022,-,"2,9",,1 Critique Spectateur,,"Dans une petite ville en plein désert, un meurtre et les horribles ambitions d'un inconnu expert en torture donnent à un flic chevronné l'occasion de faire ses preuves."
Future Is a Lonely Place,,"Policier,Thriller",101,"
6 nominations
","
6 nominations
","Lucas Gregorowicz,Denis Moschitto,Katharina Schüttler",Die Zukunft ist ein einsamer Ort,,Allemand,Long-métrage,2022,-,"2,3",,4 Critiques Spectateurs,6 nominations,"Frank, un homme sans antécédent judiciaire, braque un convoyeur de fonds, puis se rend à la police. Son comportement demeure un mystère. Une fois incarcéré, il fait la connaissance de Fuad, un homme méfiant et sans scrupules qui est sous la protection d’un des clans de prisonniers. Afin de se lier avec ce dernier, Frank accepte de participer au trafic de drogue qui a lieu au sein de l’établissement pénitencier, mais se retrouve vite pris à partie par ses co-détenus issus des bandes rivales allemandes et arabes…"
Emportée par les flammes,,,95,Patricia E. Gillespie,,,The Fire That Took Her,,Anglais,Long-métrage,2022,-,,,,,Un documentaire bouleversant sur une femme brûlée vive par son ex-compagnon. Elle survécut de justesse et resta assez longtemps en vie pour devenir la première victime à témoigner au procès de son propre meurtrier.
Rabiye Kurnaz contre George W. Bush,21/12/2022,Biopic,119,Andreas Dresen, Shellac ,"Meltem Kaptan,Alexander Scheer,Charly Hübner",Rabiye Kurnaz gegen George W. Bush,"Allemagne,France",Allemand,Long-métrage,2022,-,"2,8","2,8",6 articles de presse,2 prix et 8 nominations,"Murat Kurnaz est arrêté en 2001 et détenu sans preuve dans le camp de Guantánamo pour terrorisme. Sa mère Rabiye Kurnaz va tout faire pour sa libération à travers une longue procédure judiciaire, y compris en attaquant à Washington le président des États-Unis, George W. Bush."
Le Monde de Nate,,Famille,91,Tim Federle,,"Rueby Wood,Joshua Bassett,Aria Brooks",Better Nate Than Ever,,Anglais,Long-métrage,2022,-,"3,1",,4 Critiques Spectateurs,,"Nate Foster, 13 ans, rêve de se produire à Broadway. Le problème, c’est qu’il n’arrive même pas à décrocher un rôle dans la pièce de l’école. Mais lorsque ses parents s’absentent quelques jours, il profite de l’occasion pour foncer à New York en compagnie de sa meilleure amie Libby afin de prouver à la Terre entière qu’il peut réussir. Une rencontre fortuite avec sa tante Heidi - qu’il n’avait pas vue depuis des années - va bouleverser ses projets. Nate et Lizzie vont alors découvrir que l’ambition détermine souvent l’ampleur des plus grandes aventures..."
Les lapins crétins invasion : objectif Mars,,Comédie,68,Franz Kirchner,,Damien Laquet,Rabbids Invasion Special: Mission To Mars,,Anglais,Long-métrage,2022,-,"3,2",,,,"Franck Nebula, charismatique patron d’une entreprise à la pointe de la technologie, veut coloniser Mars. Une première fusée est sur le point de décoller, elle doit y déposer un engin new-tech qui va déclencher la Terraformation et rendre cette planète viable pour les humains."
Hollywood Stargirl,,"Comédie dramatique,Drame,Comédie",105,Julia Hart,,"Grace VanderWaal,Uma Thurman,Judy Greer",,,Anglais,Long-métrage,2022,-,"2,5",,3 Critiques Spectateurs,,"La destinée de Stargirl alors qu’elle s’apprête à gagner la Californie en compagnie de sa mère Ana, embauchée pour réaliser les costumes d’un film à Los Angeles. La jeune fille, qui espère concrétiser ses rêves et devenir chanteuse professionnelle, y fait la connaissance de personnages aux profils très variés, dont M. Mitchell, son voisin ; les frères Evan et Terrell, deux réalisateurs en herbe ; et Roxanne Martel, une musicienne qu’elle admire."
Rumspringa,,Drame,101,Mira Thiel,,"Timur Bartels,Jonas Holdenrieder,Tijan Marei",,,Allemand,Long-métrage,2022,-,"2,6",,1 Critique Spectateur,,"Lors d'un voyage à Berlin, un jeune amish en plein rite de passage renoue avec ses racines, tombe amoureux et prend une grande décision."
"South Park : The Streaming Wars, deuxième partie",,Comédie,51,Trey Parker,,"Trey Parker,Matt Stone,April Stewart",South Park The Streaming Wars Part 2,,Anglais,Long-métrage,2022,-,"3,6",,,,"À cause de la sécheresse, la ville de South Park est à deux doigts de la catastrophe."
Histoires de petites gens,06/07/2022,,90,Djibril Diop Mambety, JHR Films ,,,"Sénégal,France,Suisse,Allemagne","Wolof, Français",Long-métrage,2022,-,"3,1",,,,
Molly Johnson,,"Historique,Western",108,Leah Purcell,,"Leah Purcell,Rob Collins,Sam Reid",The Drover’s Wife: The Legend of Molly Johnson,,Anglais,Long-métrage,2022,-,"3,2",,1 Critique Spectateur,,"1893, dans une région sauvage d’Australie. Molly Johnson, enceinte, s’occupe seule de sa ferme et de ses enfants en l’absence de son mari. Elle recueille Yadaka, un aborigène en fuite, accusé de meurtre…"
Somewhere Over the Chemtrails,,Comédie,84,Adam Rybanský,"
1 nomination
","Anna Polívková,Miroslav Krobot,Marek Pospíchal",Kdyby radši hořelo,,Tchèque,Long-métrage,2022,-,"3,0",,1 Critique Spectateur,,"Lorsqu'un villageois est blessé par une voiture lors d'une fête, le pompier Brona est immédiatement convaincu qu'il s'agit d'une attaque perpétrée par un ""arabe"". Son collègue Standa voit les choses différemment."
A E I O U - L'alphabet rapide de l'amour,21/12/2022,Romance,104,Nicolette Krebitz, Shellac ,"Sophie Rois,Udo Kier,Milan Herms",A E I O U - Das schnelle Alphabet der Liebe,"Allemagne,France","Allemand, Français",Long-métrage,2022,-,"2,3","2,0",6 articles de presse,9 nominations,"Anna est une comédienne taciturne de soixante ans, confrontée à son obsolescence et condamnée à des rôles ingrats. Adrian est un adolescent solitaire, kleptomane et en échec scolaire. Chargée de lui donner des cours d’éloquence, en vue d’une performance théâtrale, Anna prend Adrian au sérieux, à la grande surprise de celui-ci. Les leçons deviennent des dîners et Anna passe de mentor à maîtresse."
"Maître Conti - Une femme, deux visages",,,90,Claudia Garde, Arte ,"Desiree Nosbusch,Malaya Stern Takeda,Maximilian Mundt",Conti - Meine zwei Gesichter,,Allemand,Long-métrage,2022,-,"2,9",,1 Critique Spectateur,,"Violemment prise à partie par la presse pour avoir entretenu une liaison extraconjugale et participé à une fête où a circulé de la drogue, Anna Conti, une brillante avocate de Hambourg, a trouvé refuge chez sa mère d’origine italienne, son mari ayant demandé le divorce. Une fois passée la tempête médiatique qui a brisé son mariage, elle reprend le chemin des prétoires pour assurer la défense d’Elisabeth ""Liz"" Jordan, une jeune musicienne à succès accusée d'avoir noyé son nourrisson, âgé de quelques semaines seulement. Placée en détention provisoire, la jeune femme, sous le choc, ne se défend pas du crime dont on l’accable. Ayant la conviction qu’elle est injustement accusée, Me Conti se retrouve face à l'une de ses anciennes stagiaires, l’ambitieuse Henry Mahn. Celle-ci, devenue une pointilleuse procureure, entend bien obtenir la peine maximale. Alors qu’Elisabeth subit à son tour le déchaînement des médias et des réseaux sociaux, Anna Conti est résolue à prouver son innocence."
